FEI Number,Recalling Firm Name,Product Type,Product Classification,Status,Distribution Pattern,Nationwide,Recalling Firm City,Recalling Firm State,Recalling Firm Country,Center Classification Date,Reason for Recall,Reason Category,Product Description,Event ID,Event Classification,Product ID
3000158319,"Foremost Foods International, Inc.",Food/Cosmetics,Class II,Terminated,"U.S. Distribution to Supermarkets in CA, HI, WA, IL, NV, and TX. No foreign distribution.",No,Pomona,California,United States,2024-01-04,"Potential C. botulinum growth and toxin formation. Frozen bangus (milkfish) in reduced oxygen packaging does not contain instructions to keep frozen and instructions for proper thawing (e.g., ""Important, keep frozen until used, thaw under refrigeration immediately before use."").",Others,"Pamana Premium Marinated Baby Bangus (Deboned Marinated Baby Milkfish), Net Weight to be Weight at Time of Sale",93557,Class II,204784
3014570541,"Carolina CoPacking, LLC",Food/Cosmetics,Class II,Ongoing,Product was shipped to one customer in VA,No,Henderson,North Carolina,United States,2024-01-03,"During a contract inspection by the North Carolina Department of Agriculture, NCDA, informed the firm that the labeling does not list the common name of ""milk"".",Others,"Scratch PASTA Co MARINARA SAUCE NET WT. 24.5 oz glass jar Ingredients: San Marzano Plum Peeled Tomatoes, Onion, Butter (Cream, Natural Flavor) UPC 8 50053 68700 6 Scratch Pasta Company 2204 Bedford Avenue, Suite E Lynchburg, Virginia 24503",93603,Class II,204955
3010352930,"TGD Cuts, LLC",Food/Cosmetics,Class I,Terminated,"Distributed in PA, NJ, MD, WV, SC VA, DE, NC, and NY",No,Jessup,Maryland,United States,2024-01-02,Potential Salmonella Contamination,Salmonella,"FRUIT TRAY  3/64 oz. Packaged in a tray. UPC: 840219166315

",93540,Class I,204676
2128569,"FreshPoint Bix Produce Company, LLC",Food/Cosmetics,Class I,Terminated,"IA, MN, ND, WI",No,Little Canada,Minnesota,United States,2024-01-02,Potential Salmonella contamination.,Salmonella,"FreshPoint Bix Produce Company, Whole Cantaloupe, Item 03143.  1/3 CT.  3 melons per container.   
",93471,Class I,204466
3013697420,BioMylz Pvt. Ltd.,Food/Cosmetics,Class II,Terminated,Distributed to a distribution center in CA and then further distributed to distribution centers and retail stores nationwide.,Yes,Bengaluru,-,India,2024-01-02,Potential mold contamination,Mold,"Spring Valley Biotin & Collagen Liquid, Natural Berry Flavor, 15000 mcg, Dietary Supplement 29 doses 1 fl oz (29mL) UPC: 194346065158
Packaged in a glass bottle in a paper carton",93512,Class II,204613
3022651804,Bobo's,Food/Cosmetics,Class II,Terminated,waiting on consignee list,No,Loveland,Colorado,United States,2023-12-29,Undeclared Allergen - Coconut,Undeclared,"Bobo's Oat Bars - Peach 3oz packaged in ALOX coated PET film, corrugate cartons and master case. 12 units per carton",93582,Class II,204907
3003844641,Wakefern Foods Corp.,Food/Cosmetics,Class III,Terminated,"CT, DE, MA, MD, NH, NJ, NY, PA, RI",No,Keasbey,New Jersey,United States,2023-12-28,Undeclared aspartame lack of phenylalanine warning,Undeclared,"Bowl & Basket Zero Calorie with Sucralose Sweetener 100 count, UPC 0-41190-06855-5, 12 retail cartons per wholesale case",93645,Class III,205011
3005863013,Gaws Gourmet  Foods,Food/Cosmetics,Class II,Terminated,MI,No,Marysville,Michigan,United States,2023-12-27,undeclared sesame,Undeclared,"Gaw's Deluxe Italian sub 12oz, Foam Tray with Clear Plastic Wrap package, UPC:1725600910",93517,Class II,204631
3012980969,GLOBAL VEG CORP,Food/Cosmetics,Class I,Terminated,"NJ, NY",No,New York,New York,United States,2023-12-21,Contains undeclared sulfites,Undeclared,"Aviator Dehydrated Tomato Halves, Net Wt. 4x2.27kg (5lbs)",93572,Class I,204872
1512857,United Dairy Farmers Inc,Food/Cosmetics,Class I,Terminated,"Ohio, Kentucky, and Indiana",No,Norwood,Ohio,United States,2023-12-21,Undeclared Allergen - Egg,Undeclared,United Dairy Farmers - Holiday Nogg packaged in clear plastic HDPR 1/2 gallon jug. UPC: 076310050493,93584,Class I,204915
3004329767,"The HMC Group Cold Storage, Inc.",Food/Cosmetics,Class I,Terminated,"U.S. distribution to the following: CA, OR, MA, PA, AK, WA, CO, UT, TN, MO, IL, MN, VA, KS, NC, TX, AZ, GA, OH, NY, NJ, ID, WI, FL, SC, AL, NV

Foreign distribution to the following: Mexico, Canada, and Taiwan",No,Kingsburg,California,United States,2023-12-21,Potential contamination with Listeria monocytogenes,Listeria,"HMC Farms
Peaches
2lb Gusset Bag
",93459,Class I,204407
3005260708,"Island Snacks, Inc.",Food/Cosmetics,Class II,Terminated,"U.S. distribution to the following: CA

No foreign distribution.",No,Buena Park,California,United States,2023-12-21,"Product states gluten free, but ingredient statement declares modified wheat flour as an ingredient.",Undeclared,"The Candy Shop Rainbow Belts
Net Wt. 10.5 oz. (298g)
SKU Code: 400255786276",93545,Class II,204698
3010932388,"Willamette Valley Pie Company, LLC",Food/Cosmetics,Class II,Terminated,"Distributed in CA, IL, IN, KY, MI, MN, MO, NV, OH, OR, WA and WI.
",No,Silverton,Oregon,United States,2023-12-20,Foreign object,Others,"Bulk Frozen Cases:
The 9"" Vegan Pumpkin Pie bulk case has UPC 22518 84081 and the label is read in parts: 9"" Vegan Pumpkin Pie WFM, BAKED BULK, 6 units/case. KEEP FROZEN - TRANSPORT AND STORE AT LESS THAN ZERO DEGREES F. Just Thaw and serve. Remove from freezer, removed plastic wrap, and let thaw in REFRIGERATOR overnight. Please keep refrigerated. NOT SHELF STABLE.  Willamette Valley Pie Company 1651 Eska Way, Silverton, OR 97381. 


Individual Retail Packages:
Whole Foods Market - Vegan Pumpkin Pie, net Wt. 1lb 12oz (794g) packaged in window box or plastic clamshell.
Whole Foods Market - Vegan Pumpkin Pie Half, net wt. 13 oz. (369g); packaged  in plastic clamshell.
Whole Foods Market - Vegan Pumpkin Pie Slice, net wt. 4 oz. (113g); packaged in plastic clamshell.",93484,Class II,204482
3013831439,Renaissance Food Group,Food/Cosmetics,Class I,Terminated,"Product was shipped to the following states: AL, GA, FL, NC, SC",No,Conley,Georgia,United States,2023-12-19,Salmonella,Salmonella,"Cantaloupe Chunks 9oz (255g) UPC 8 26766 13923 1 & 18 oz (1 LB 2 OZ) 5??g UPC 8 26766 13917 0 Dist By Renaissance Food Group, LLC 4322 Moreland Avenue, Conley, GA 30288",93502,Class I,204559
3007486092,"Kwik Trip, Inc.",Food/Cosmetics,Class I,Terminated,"IA, IL, MI, MN, SD, and WI",No,La Crosse,Wisconsin,United States,2023-12-16,Potential Salmonella Contamination.,Salmonella,"Kwik Trip Cantaloupe, Item 930541.  Net Wt 6 oz (170g).  UPC 0 39779-00213 7.  Produced & Distributed by Kwik Trip Inc., La Crosse WI",93504,Class I,204538
3015969669,Market Cuts LLC,Food/Cosmetics,Class I,Terminated,"IL, IN, MI, WI",No,Chicago,Illinois,United States,2023-12-16,salmonella,Salmonella,"Little Salad Bar Cantaloupe Chunks, 1lb clamshell UPC 4099100215885;
Market Cuts Cantaloupe Chunk 1"" 1/5lb Tray, 5lb tray;
Market Cuts1 lb Cantaloupe Chunk 1""x1"", 1lb clamshell UPC 092538001277;
Market Cuts Cantaloupe Chunk 1"" 2/5lb Tray, 5lb tray;	
Market Cuts Cantaloupe Chunk 3/4"" 2/5lb Tray, 5lb tray;	
Market Cuts Cantaloupe Chunk 3/4"" 1/5lb Tray, 5lb tray;	
(No brand) 10 oz Cantaloupe Chunk Grab n Go, 10oz cup UPC 092538002038;	
(No brand) 1 lb Cantaloupe Chunk 1""x1"", 1lb tray UPC 092538001277;	
Market Cuts 6 oz Cantaloupe Chunk Grab n Go, 6oz cup	UPC 092538002762

	

	
",93457,Class I,204405
1629120,FreshPoint Dallas,Food/Cosmetics,Class I,Terminated,"Institutions, medical facilities and direct food service accounts in Arkansas, Missouri, Mississippi, Kansas, Louisiana, Oklahoma, Texas",No,Dallas,Texas,United States,2023-12-16,"TruFresh in Nogales, AZ issued a voluntary recall of its Malichita, Mexico-sourced whole cantaloupe sold in the United States for potential Salmonella contamination.",Salmonella,Whole cantaloupe 3ct and 6ct,93466,Class I,204460
3009219622,"Crown Jewels Produce Company, LLC",Food/Cosmetics,Class I,Terminated,"U.S. distribution to the following: CA, OH

No foreign distribution.",No,Fresno,California,United States,2023-12-16,Salmonella contamination,Salmonella,Malichita/Z Farms Cantaloupes 35 to 40 lb. cartons sold by piece count.,93485,Class I,204484
3004024934,Kenover Marketing Corp.,Food/Cosmetics,Class I,Terminated,"Distributed to distributors and retailers in IL, PA, MD, CA, NH, RI, CO, OR,  IA, FL, GA, TX, NY, NJ, SC, MA, WI  and CT.",No,Bayonne,New Jersey,United States,2023-12-15,Undeclared milk due to mispackaging,Undeclared,"Manischewitz Magic Max's Dark Chocolate Coins, NET WT. 0.53 OZ (15g), UPC: 072700200387
Display Box UPC: 072700200356, 12 bags per case. Product packaged in gold foil in blue netting bags.",93518,Class I,204638
3029756640,La Michoacana 100% Natural Inc,Food/Cosmetics,Class II,Terminated,Domestic distribution only within the state of Florida.,No,Homestead,Florida,United States,2023-12-15,"Undeclared Yellow #5, Yellow #6, and Red #40",Undeclared,"ICE CREAM BAR, MICHOACANA, es...natural, ROMPOPE, Net. Wt. 6 Fl. Oz., Packaged in a plastic bag. Frozen.",93369,Class II,204202
3012205635,"Shakespeare's Pizza, Inc.",Food/Cosmetics,Class II,Terminated,Retail stores in MO and KS and direct to consumer through online sales.,No,Columbia,Missouri,United States,2023-12-15,Undeclared wheat,Undeclared,"Shakespeare's Pizza, Extra Cheese Pizza, 25 oz, Keep Frozen; UPC 686 148 007 370; pack size 20 per case.",93568,Class II,204835
2128825,E.A. Sween Co.,Food/Cosmetics,Class III,Terminated,"CA, CO, CT, FL, GA, ID, IL, LA, MD, MI, MN, MO, NJ, OR, PA, SD, TN, TX, WI
",No,Eden Prairie,Minnesota,United States,2023-12-14,Label mix-up and therefore required label information is inaccurate,Others,"Deli Express, Deli Club 4.4oz wedge sandwich, 10 retail units per wholesale case, UPC 41433-00157",93571,Class III,204868
3004648691,Freshpoint Of Southern Ca,Food/Cosmetics,Class I,Terminated,"Food services in California, Arizona and Nevada",No,Irwindale,California,United States,2023-12-13,The affected product is being recalled from the marketplace due to possible Salmonella contamination.,Salmonella,Whole cantaloupe 3ct and 6ct brand name Imperial Fresh,93427,Class I,204320
2113633,"Cut Fruit Express, Inc.",Food/Cosmetics,Class I,Terminated,"IL, MN, & WI",No,Inver Grove Heights,Minnesota,United States,2023-12-13,Cantaloupe containing products may be contaminated with Salmonella.,Salmonella,"Cut cantaloupe identified with the following Item ID and Description.  
  
1.  11628	Cantaloupe Diced 3/4"" 5lb.  
2.  13075	Cantaloupe Chunk 30-1/2 cup  
3.  1460070	Cantaloupe Chunk 1"" 5lb.  
4.  4384418	Cantaloupe Chunk 25lb. Pail.  
5.  4586	Cantaloupe Chunks 16oz.  
6.  4601225	cantaloupe diced 3/4"" 5lb.  
 7.  7073190	CANTALOUPE CHUNKS 5lb.  
8.  8138646	Cantaloupe Chunk 4-5lb.  
9.  82868	Cantaloupe Halved 10lb.  
10.  8791865	CANTALOUPE DICED 1/2"" 5lb.  
11.  9133224	Cantaloupe Ball 5lb.  
12.  DL490	cantaloupe avg 9ct Fresh
13.  V2266	Cantaloupe Diced 1/2""  5lb.  
14.  0900001	Cantaloupe Pld Halved 10lb.



",93516,Class I,204630
3007564237,"Vinyard Fruit & Vegetable Co., LLC",Food/Cosmetics,Class I,Terminated,"Product was all distributed within the state of Oklahoma.  Product was distributed to food services, distributions centers and to 7-11 convenience stores.",No,Oklahoma City,Oklahoma,United States,2023-12-13,The affected product is being recalled from the marketplace due to possible Salmonella contamination.,Salmonella,"Fruit Medley Cup 16/6 oz
3300-3 Cantaloupe Cube (2/5 lb)
3338-3 Fruit Mix Kit (4/5 lb) (Tray)
2963-3 3 Melon 16/6 oz cups
3330-3 Fruit Mix (2/5 lb)
3301-3 Cantaloupe Cube (5 lb)
3304-3 Cantaloupe Cubed 10/12 oz cups
0526-3 Melon Variety Pack
2964-3 3 Melon Medley 6 oz cups
2973-3 Fruit Medley 6 oz cups
2976-3 Cantaloupe Chunks 6 oz cups",93420,Class I,204308
3009177973,"New India Bazar, Inc.",Food/Cosmetics,Class I,Terminated,U.S. distribution to retail stores within state of CA. No foreign distribution.,No,Milpitas,California,United States,2023-12-13,Undeclared allergen; peanut,Undeclared,Maggi 2-Minute Noodles; 280g (24 packets/case); plastic pouch; store in a cool dry place,93513,Class I,204617
3008312540,"Pacific Trellis Fruit, LLC",Food/Cosmetics,Class I,Terminated,"U.S. distribution to the following: WI, OK, IL, TX, CA

Foreign distribution to the following: Canada",No,Los Angeles,California,United States,2023-12-13,Salmonella,Salmonella,Malichita brand Whole Cantaloupe 9 count and 12 count,93487,Class I,204487
1293470,Dianne's Fine Desserts,Food/Cosmetics,Class II,Terminated,"AR, FL, IL, IN, KY, MI, MO, NY, OH, PA, SC, TN, WI, WV

",No,Newburyport,Massachusetts,United States,2023-12-13,Contains undeclared peanuts.,Undeclared,Sienna Bakery Chocolate Decadent Brownies (Tray),93468,Class II,204462
3033199499,Abbsi Natural Manufacturing Limited Liability Company,Food/Cosmetics,Class II,Terminated,Domestic distribution only.,No,Riviera Beach,Florida,United States,2023-12-13,"Foreign material including disposable hairnet, shrink wrap and parchment paper.",Others,"Burn Boot Camp AFTERBURN GRASS-FED WHEY PROTEN BAR, TRIPLE CHOCOLATE WITH ALMOND BUTTER, NET WT. 2.12 OZ (60 G), packaged in metalized film.",93392,Class II,204242
3015363005,Henkle Corporation,Food/Cosmetics,Class II,Terminated,"Recalled product distributed to the following U.S. states: TX, CA, FL, NV, LA, NY, NJ, KY, MO, NC, MA, NE, SC, VT, ND, MI, NM, AZ, VA, OR, CO, OH. Product was available for purchase on the firm's website to customers nationwide. No foreign distribution.",Yes,Culver City,California,United States,2023-12-13,Potential contamination with nitrosamines,Others,"#mydentity Guy Tang Reflect Liquid Demi Permanent hair dye (2 oz./60 mL), white HDPE bottle",93460,Class II,204418
1628904,Ben E Keith Foods - Fort Worth,Food/Cosmetics,Class II,Terminated,All products were shipped via truck to food services.,No,Fort Worth,Texas,United States,2023-12-12,A frozen/ refrigerated food trailer holding various types and brands of frozen/ refrigerated foods were temperature abused.,Others,"TILAPIA FILLET 5-7 OZ BLSL, TUNA LOIN AHI 3-5LB",93314,Class II,203900
3010023212,"Sofia Produce, L.L.C.",Food/Cosmetics,Class I,Terminated,"Customers are located in the United States & Canada.  There is no distribution to US Government agencies or departments. 

Product was distributed to consignees in the following states:  California, Illinois, Indiana, Iowa, Kentucky, Louisiana, Maryland, Michigan, Minnesota, Missouri, North Carolina, North Dakota, Ohio, South Dakota, Tennessee, Texas, Virginia, West Virginia, Wisconsin and Washington D.C. 
  
",No,Nogales,Arizona,United States,2023-12-11,The affected product is being recalled from the marketplace due to possible Salmonella contamination.,Salmonella,"Whole cantaloupe, Brand name Malichita
11 count carton, 8 count carton, 9 count carton, 15 count carton d.	
Container description; Red Corrugated Paper Carton or Black Plastic RPC.",93404,Class I,204265
3011145748,"Sheetz Distribution Services, LLC",Food/Cosmetics,Class II,Terminated,"Product was shipped to the following states: NC, VA & WV.",No,Burlington,North Carolina,United States,2023-12-11,Product contains undeclared soy.,Undeclared,"Top Label Reads: SHEETZ M.T.go! Made""To""Go DOUBLE DIPPED CHOCOLATEY PEANUT BUTTER PEANUTS SNAX MIX NET WT 6.55 OZ (186 G) Back Panel Reads: SWEET & SPICY SNAX MIX DISTRIBUTED BY SHEETZ DISTRIBUTION SERVICES, LLC. CLAYSBURG, PA 16625 UPC 7 59465 00629 3",93497,Class II,204513
3003744949,"BC Gourmet USA, Inc.",Food/Cosmetics,Class II,Terminated,"CA, NJ, IN",No,Gloucester,Massachusetts,United States,2023-12-08,Product contains yeast and mold.,Mold,Hungry Root Marinara Sauce; 10.5 oz Plastic Cup; UPC 81006252077,93515,Class II,204628
3029756636,LGNDS LLC,Food/Cosmetics,Class II,Terminated,U.S. distribution only.,No,Miami,Florida,United States,2023-12-08,Finished product contains kratom (an unapproved food additive) and pH is over 5.0. The process authority letter classified product as acidified and pH cannot exceed 3.30.,Others,"TYSON 2.0, TYSON TONIC KAVA & KRATOM BLEND, Mocha, 2oz (60ml), Supplement Facts, Kava Root Extract (30%) 1200mg, Kratom Leaf Extract (30%) 120mg, (Providing 36mg Mitragynine), www.tyson20global.com, LGNDS, LLC, UPC: 850043583608, POWERED BY LGNDS, 12 bottles of 2oz each per case.",93371,Class II,204203
3009600813,Hilltop Meadow Farm,Food/Cosmetics,Class I,Terminated,"Distributed to retailers in PA, NJ, NY, WI",No,Pine Grove,Pennsylvania,United States,2023-12-06,Potential contamination with Listeria monocytogenes,Listeria,"Hilltop Meadow Farm Raw Milk Cheese Pepper Jack Aged 60 Days  .5 lb., 1 lb., 1.15 lb,  2.5 lb., and 5 lb.   UPC: 0 200144 612644. 

Packaged in clear plastic packaging.",93498,Class I,204516
2128750,Seneca Foods Corporation,Food/Cosmetics,Class I,Terminated,Product shipped to 2 Hy-Vee Distribution Centers in IA.,No,Janesville,Wisconsin,United States,2023-12-06,Undeclared soy.,Undeclared,"HyVee Turkey Gravy, Net Wt 12 oz (340g).  UPC 0 75450-03608 4.  Distributed by Hy-Vee, Inc., West Des Moines, IA  50266",93480,Class I,204478
3011641517,BAPS Shayona,Food/Cosmetics,Class II,Ongoing,"Product was shipped to the following states: AL, FL, GA, NC, SC & TN",No,Lilburn,Georgia,United States,2023-12-04,During an FDA inspection the firm was notified that some of their products contains undeclared Yellow #5.,Undeclared,"BAPS SHAYONA Anjir Roll Sweet rolls made from fig and nut filling Net Wt: 12 Oz 460 Rockbridge Rd NW Lilburn, GA 30047 UPC 53005 Contains: Milk, Nuts",92774,Class II,202509
1928291,Scoular Grain Co,Food/Cosmetics,Class II,Ongoing,Texas and Canada,No,Omaha,Nebraska,United States,2023-12-04,Foreign object (plastic),Others,"Milled Brown Flax - MBF9, 50lb bag",93372,Class II,204205
3011330545,Garden Of Life Llc,Food/Cosmetics,Class II,Terminated,Domestic and foreign distribution.,No,West Palm Beach,Florida,United States,2023-12-01,Undeclared Soy.,Undeclared,"Garden of Life, FYI ULTRA, ULTIMATE Joint & Cartilage Formula, Whole Food Dietary Supplement, 120 Ultra Zorbe VEGETARIAN CAPSULES",93289,Class II,203843
3028628931,"USA Hookah, LLC",Food/Cosmetics,Class I,Terminated,"Distributed to NY, NJ, and PA.",No,Paterson,New Jersey,United States,2023-11-29,Undeclared sulfites,Undeclared,Eltahan Golden Raisins 400 gm. Packaged in a clear plastic bag. UPC 2337660022,93426,Class I,204319
3010133065,GreenGate Fresh LLLP,Food/Cosmetics,Class I,Terminated,"Total number of consignees that received the recall product: 8. Total number of distributors that received the recall product: 8. Recalled product distributed in the following U.S. states: SC, IL, MO, MA, TX, CA, MI.",No,Salinas,California,United States,2023-11-29,Potential E. coli (EHEC) contamination,E-Coli,GreenGate Fresh Standard Cello Spinach; 4 - 2.5lb plastic bags per box; SKU 465; Perishable hence require refrigeration at all times of its shelflife,93421,Class I,204309
1019661,"United Packers, LLC",Food/Cosmetics,Class II,Terminated,"AL, FL, MS",No,Mobile,Alabama,United States,2023-11-29,Potential foreign material,Others,Diet Coke packaged in 12oz aluminum cans - 12 pack fridge pack,93398,Class II,204255
3011281443,Bisousweet Confections,Food/Cosmetics,Class III,Terminated,"MA, NH, OR",No,Shirley,Massachusetts,United States,2023-11-29,Chocolate Whoopie pie packages contain Raspberry Whoopie pies,Others,"Bisousweet Confections Chocolate Whoopie Pies
",93352,Class III,204140
3003763470,"L'Oreal Usa, Inc.",Food/Cosmetics,Class II,Terminated,"AZ, CA, GA, IL, MD, MS, NV, NY, SC, TX, UT, VA",No,Florence,Kentucky,United States,2023-11-28,Potential contamination with Burkolderia cepacia complex (B. cepacia),Others,"Mizani 25 Miracle Cream Leave-in Conditioner packaged in 250ml plastic tube, 1 tube per package",93430,Class II,204326
3008931701,Bonta - Natural Artisan Gelato LLC,Food/Cosmetics,Class II,Terminated,"Distributed in Bend (Oregon), Redmond (Oregon), Sisters (Oregon), Tumalo (Oregon), and Terrebonne (Oregon).",No,Bend,Oregon,United States,2023-11-28,undeclared soy lecithin.,Undeclared,"Bonta Natural Artisan Gelato Stracciatella is frozen dessert, packaged in blue cardboard pint cups (UPC 58745 00309) and in green cardboard half-gallon tubs (UPC 58745 00306).

The 1 Pint label is read in parts: ""Stracciatella Sweet Cream Freckled with crunchy 70% Dark Chocolate. Ingredients: Milk, sugar, cream. Theo dark chocolate (cocoa beans, cane sugar, cocoa butter), skim milk powder, ***coconut oil***CONTAINS: milk, coconut.

The Half-Gallon label is read in parts:  ""Stracciatella ***Milk, sugar, cream, Theo dark chocolate (cocoa beans, cane sugar, cocoa butter), skim milk powder, ***coconut oil***CONTAINS: milk, coconut. Made on shared equipment with milk, egg, wheat, peanuts, soy, coconut, tree nuts.""

",93425,Class II,204318
3006257633,California Bread Co.,Food/Cosmetics,Class II,Terminated,U.S. distribution to firm within California; no foreign distribution.,No,Chula Vista,California,United States,2023-11-27,Undeclared allergen; milk,Undeclared,"California Baking Company Telera Bread (La Torta Bread), 6 pack (26 oz) and 12 pack (58 oz), plastic bags",93389,Class II,204239
3011486512,Jeni's Splendid Ice Creams LLC,Food/Cosmetics,Class II,Terminated,All US states,No,Columbus,Ohio,United States,2023-11-21,Potential Foreign Material - aluminum and/or stainless steel pieces,Others,"Jeni's Splendid Ice Cream: Buttercream Birthday Cake Ice Cream
packaged in paperboard pint cups with heat seals and paper lids - 8 pints per case
",93402,Class II,204261
2120589,Asenzya Inc.,Food/Cosmetics,Class II,Terminated,WI,No,Oak Creek,Wisconsin,United States,2023-11-21,seasoning may contain sesame,Others,"Asenzya Hot & Spicy Cajun Style Seasoning, Item 121331.  Net Wt 15 lbs. Distributed by:  Asenzya 7616 South Sixth Street, Oak Creek, WI  53154.",93321,Class II,203938
3029093828,Paradise Flavors LLC,Food/Cosmetics,Class I,Terminated,"Domestic distribution only, within state of Florida. No foreign distribution.",No,Marathon,Florida,United States,2023-11-17,"Undeclared allergen: Milk. Undeclared Color Additives: FD&C red #5, blue #1, red #3, red #40, yellow #5.",Undeclared,"UNICORN Ice-cream base, natural flavors, Artificial Flavoring, Artificial color. DISTRIBUTED BY PARADISE FLAVORS LLC. 4 oz. Packaged in plastic pouch. Frozen.",93169,Class I,203942
3011131543,"ActiPharma, Inc.",Food/Cosmetics,Class III,Terminated,"Domestic distribution, in Puerto Rico. 
",No,Guaynabo,Puerto Rico,United States,2023-11-17,"FDA sample analysis of ACTIRON Dietary Supplement, 100 Tablets, Lot 13309, found the product did not meet folic acid specification compared to the label claim.",Others,"ACTIRON Dietary Supplement, ActiPharma, 100 tablets (24 bottles per case) ) (Lot 13309, Exp.: 01/26), UPC: 363102217104.",93210,Class III,203656
3029571634,GIVE AND GO PREPARED FOODS CORP,Food/Cosmetics,Class II,Terminated,nationwide in the US.,Yes,Etobicoke,-,Canada,2023-11-16,Potential plastic pieces in the product.,Others,"Item 19858, Amazon Fresh, Frosted Mini Brownie with yellow and purple icing with sprinkles, 12 count per pack, packaged in a plastic clear clamshell container, net wt. 14oz. Case UPC 1 08 42379 19858 5; Retail package UPC 8 42379 19858 8.",93287,Class II,203841
3026992452,Tay's Sales and Distribution,Food/Cosmetics,Class II,Completed,Direct to consumer and retail establishments in IA and IL.,No,Marion,Iowa,United States,2023-11-15,Sub-ingredients not declared for sunflower butter.,Undeclared,"Full Spectrum Cold Pressed Hemp Oil Gummies, Fruit Punch, 1.41 oz (4-count) and 8oz (15-count).",92050,Class II,199475
2381101,TH Searcy LLC,Food/Cosmetics,Class I,Ongoing,"Wholesale to 3 distributors: Walmart, Kroger, Associated Wholesale Grocers with retail distribution in Arkansas, Kansas, Kentucky, Louisiana, Mississippi, Missouri, Oklahoma, Tennessee, Texas.",No,Searcy,Arkansas,United States,2023-11-13,Undeclared Egg,Undeclared,Guilt Free No Sugar Added Ice Cream Homemade Vanilla 1.5qts,93186,Class I,203618
1000389500,Tokai Denpun USA Inc,Food/Cosmetics,Class II,Terminated,"Distributed in CA, NC, NV, and TX between August 2021 and September 2021.",No,Redmond,Washington,United States,2023-11-13,"Histamine, high total plate count, coliforms, and E.coli (serotype is unknown).",Others,"Takumi brand frozen tuna ground meat, raw but ready to eat, vacuum packaged units in fiber boxes, net wt. 11 lbs. per box. individual units were sold by weight at the point of sale. Product of Fiji, and imported by Tokai Denpun USA INC. Bellevue, WA.

Vacuum package label is read in parts: Product of Fiji - Frozen Tuna Ground Meat, Keep Frozen.
",93190,Class II,203626
1122128,Nutricia North America,Food/Cosmetics,Class II,Terminated,"247 kits shipped within US (Alabama, California, Colorado, Illinois, Kentucky, Louisiana, Massachusetts, Maryland, Michigan, New Hampshire, New Jersey, New Mexico, New York, Ohio, Pennsylvania, Rhode Island, South Carolina, Texas, Virginia, Washington, Wisconsin)

36 kits shipped within Canada (Ontario, Quebec, Prince Edward, British Columbia, Alberta)",No,Rockville,Maryland,United States,2023-11-09,Incorrect product in packaging,Others,"Nutricia KetcoCal 4:1 LQ Unflavored in 237ml (8fl oz) packaged in tetra prisma paper aseptic carton - 3 cartons per box

*Sample Kits*",93288,Class II,203842
3020060566,The Cookie Factory LLC,Food/Cosmetics,Class II,Terminated,NY and VT,No,Troy,New York,United States,2023-11-09,Product contains undeclared macadamia nuts.,Undeclared,Stewarts Chocolate Chip Cookies; 6 oz package; packaged in a flexible plastic clamshell type package,93198,Class II,203634
1319133,"The Sausage Maker, Inc.",Food/Cosmetics,Class III,Completed,online orders nationwide,Yes,Buffalo,New York,United States,2023-11-09,Contains Sodium Nitrite recalled for potential metal contamination,Others,"The Sausage Maker Instacure #1
",92770,Class III,202495
1000306651,"Gills Onions, LLC",Food/Cosmetics,Class I,Terminated,"Distributors in Canada   AB, BC, NB, NS, ON; and the United States   AZ, CA, CO, CT, FL, GA, IA, ID, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NM, NV, OH, OK, OR, PA, SC, TN, TX, UT, VA, WA and WI.",No,Oxnard,California,United States,2023-11-08,Potential contamination with Salmonella Thompson,Salmonella,"Gills Onions 3 lb. bags, diced yellow onions",93290,Class I,203844
3015811985,WANABANA USA LLC,Food/Cosmetics,Class I,Terminated,"Virginia, Kentucky, California, Puerto Rico, United Arab Emirates, Cuba",No,Jacksonville,Florida,United States,2023-11-08,North Carolina Department of Health and Human Services (NCDHHS) sampled product and found it to contain high levels of lead.,Others,"WANABANA APPLE CINNAMON FRUIT PUREE, Net Weight: 2.50 oz (71g) Pouches, 15 poches per carton, 3-pack carton in one box.",93340,Class I,204034
3003732365,Cookies-n-Milk Incorporated,Food/Cosmetics,Class I,Terminated,"Product is sold retail in Convenience stores in IA, KS, MN, MO, ND, NE, SD, WI, WY.",No,Mckinney,Texas,United States,2023-11-07,Undeclared Peanut Butter; Packaged Peanut Butter Dough in Chocolate Chip packaging.,Undeclared,Edible Cookie Dough Chocolate Chip packaged in 6 oz plastic cups lot # 3240,93142,Class I,203533
